,num_suppressed_records,num_records,max_group_size,avg_group_size,k,l,t,perc_recs,c_avg,bagging_acc,random_forest_acc,boosting_acc,bagging_auc,random_forest_auc,boosting_auc,bagging_prec,random_forest_prec,boosting_prec,bagging_recl,random_forest_recl,boosting_recl,bagging_f1,random_forest_f1,boosting_f1
"k: 5, clustering: kmeans,  embedding: average_word_embeddings_levy_dependency",1639,30922,1445,113.26739926739927,5,2,0.655837267964556,0.9496637081170726,22.653479853479855,0.8334868865548799,0.8293716602174314,0.8419630243842516,0.6650661442621757,0.6694660283395655,0.7062640551460418,0.8721311475409836,0.8051428571428572,0.7918386061439706,0.3458138325533021,0.36635465418616747,0.44903796151846076,0.49525228076708244,0.5035739814152966,0.5730877716940435
"k: 5, clustering: kmeans,  embedding: average_word_embeddings_glove.840B.300d",1858,30703,1416,90.83727810650888,5,2,0.7077468775348461,0.942937870458524,18.167455621301777,0.8363122658313371,0.8296787666605245,0.8389533812419384,0.6769729269267273,0.6801732189914859,0.6992652275451694,0.8467410452143277,0.7710965133906014,0.7889518413597734,0.374934997399896,0.3967758710348414,0.4344773790951638,0.5197332852766264,0.5239484978540773,0.5603621730382293
"k: 5, clustering: agglomerative,  embedding: BERT",2729,29832,2021,102.51546391752578,5,2,0.7386043897105845,0.9161880777617395,20.503092783505156,0.8344696271727781,0.8248264848596524,0.839690436705362,0.6844768772656817,0.6952253120281627,0.6928334358947338,0.7986507524649714,0.7017045454545454,0.8165983606557377,0.4001560062402496,0.4495579823192928,0.41445657826313054,0.5331716611813614,0.5480190174326466,0.5498447740600206
"k: 5, clustering: agglomerative,  embedding: word2vec",2510,30051,1416,88.90828402366864,5,2,0.7055672024225483,0.9229139154202881,17.78165680473373,0.836496529697193,0.8304158221239482,0.8420858669614889,0.6817629520621115,0.6797577669089877,0.707242434450092,0.8281596452328159,0.7786337955829481,0.7899045020463847,0.38845553822152884,0.39417576703068125,0.4516380655226209,0.5288495575221238,0.5233902986362852,0.5746898263027296
"k: 5, clustering: agglomerative,  embedding: average_word_embeddings_glove.6B.300d",2310,30251,1420,85.454802259887,5,2,0.7075784121336335,0.9290562329166795,17.090960451977402,0.8354523677906762,0.8302315582580923,0.840366070880167,0.6759610191404036,0.6708371205777061,0.6989328909706448,0.8418277680140598,0.8084378563283923,0.8016448959845186,0.3736349453978159,0.36869474778991157,0.43083723348933955,0.517558076715289,0.5064285714285713,0.5604600033823778
"k: 5, clustering: agglomerative,  embedding: msmarco-bert-base-dot-v5",2590,29971,1416,91.93558282208589,5,2,0.6376247038804177,0.9204569884217315,18.387116564417177,0.8278975492905841,0.8242736932620847,0.838523432221608,0.6420111569239609,0.6426020925034831,0.6728530950646953,0.9408783783783784,0.8762414056531703,0.8943616331821128,0.28965158606344255,0.29823192927717107,0.358814352574103,0.44294234592445336,0.4450048496605237,0.5121543885693078
"k: 5, clustering: agglomerative,  embedding: multi-qa-mpnet-base-dot-v1",1616,30945,1572,120.87890625,5,2,0.6415791457963054,0.9503700746291576,24.17578125,0.8321970394938886,0.8263005957864996,0.8306000859898041,0.6526380548587444,0.6461738952067129,0.6801477825096117,0.9324534161490683,0.8838612368024132,0.778974358974359,0.312272490899636,0.3047321892875715,0.3949557982319293,0.46786131671211534,0.4532095901005414,0.5241545893719807
"k: 5, clustering: agglomerative,  embedding: text-embedding-3-large",2316,30245,1446,84.01388888888889,5,2,0.7376985388557549,0.9288719633917877,16.802777777777777,0.833978256863829,0.8297401879491432,0.8387691173760825,0.6772409038701717,0.6602786910028874,0.6966303091206881,0.8208871420550252,0.8500651890482399,0.7956416464891041,0.3801352054082163,0.3390535621424857,0.42719708788351535,0.5196374622356495,0.4847583643122676,0.5559127051260362
"k: 5, clustering: agglomerative,  embedding: text-embedding-3-small",1602,30959,1574,104.9457627118644,5,2,0.6429772220737691,0.950800036853905,20.98915254237288,0.8336711504207358,0.8273447576930164,0.8423929734045821,0.677937819563446,0.6582615560352209,0.6990924413816119,0.8150609080841639,0.8310940499040307,0.8187250996015937,0.3827353094123765,0.3377535101404056,0.42745709828393136,0.5208775654635527,0.48031059345535215,0.5616672360778955
"k: 5, clustering: agglomerative,  embedding: mistral-embed",2298,30263,1441,90.06845238095238,5,2,0.7070485110831408,0.9294247719664629,18.013690476190476,0.8369264787175235,0.8312142988759904,0.8398132792825993,0.6795301245101674,0.670672300957177,0.696595494700367,0.8420448018380241,0.8191860465116279,0.8046259842519685,0.38117524700988037,0.36635465418616747,0.4251170046801872,0.5247896903526043,0.5062881782249371,0.556311670636271
